Model year,Make,Model,Vehicle class,Engine size (L),Cylinders,Transmission,Fuel type,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2005,Acura,1.7EL,Compact,1.7,4,A4,X,9.2,7.2,8.3,34,191,n/a,n/a
2005,Acura,1.7EL,Compact,1.7,4,M5,X,9.1,7.3,8.3,34,191,n/a,n/a
2005,Acura,MDX AWD,Sport utility vehicle,3.5,6,A5,Z,15.9,11.1,13.7,21,315,n/a,n/a
2005,Acura,NSX,Two-seater,3,6,AS4,Z,15.1,10.5,13,22,299,n/a,n/a
2005,Acura,NSX,Two-seater,3.2,6,M6,Z,15.1,10.5,13,22,299,n/a,n/a
2005,Acura,RL,Mid-size,3.5,6,AS5,Z,14.5,9.9,12.4,23,285,n/a,n/a
2005,Acura,RSX,Subcompact,2,4,AS5,X,10.6,7.6,9.3,30,214,n/a,n/a
2005,Acura,RSX,Subcompact,2,4,M5,X,9.9,7.6,8.9,32,205,n/a,n/a
2005,Acura,RSX,Subcompact,2,4,M6,Z,11.8,8.3,10.2,28,235,n/a,n/a
2005,Acura,TL,Mid-size,3.2,6,AS5,Z,13.3,8.9,11.3,25,260,n/a,n/a
2005,Acura,TL,Mid-size,3.2,6,M6,Z,13.3,8.9,11.3,25,260,n/a,n/a
2005,Acura,TSX,Compact,2.4,4,AS5,Z,12,8.5,10.4,27,239,n/a,n/a
2005,Acura,TSX,Compact,2.4,4,M6,Z,12.5,8.7,10.8,26,248,n/a,n/a
2005,Audi,A4,Compact,1.8,4,AV,Z,11.8,8.7,10.4,27,239,n/a,n/a
2005,Audi,A4 quattro,Compact,1.8,4,AS5,Z,13.2,9,11.3,25,260,n/a,n/a
2005,Audi,A4 quattro,Compact,1.8,4,M6,Z,12.7,8.6,10.8,26,248,n/a,n/a
2005,Audi,A4 quattro,Compact,3,6,AS5,Z,14.5,9.9,12.4,23,285,n/a,n/a
2005,Audi,A4 quattro,Compact,3,6,M6,Z,14.5,9.8,12.4,23,285,n/a,n/a
2005,Audi,A4 quattro,Compact,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,n/a,n/a
2005,Audi,A4 Cabriolet,Subcompact,1.8,4,AV,Z,11.6,8.6,10.2,28,235,n/a,n/a
2005,Audi,A4 Cabriolet,Subcompact,3,6,AV,Z,12.8,9,11.1,25,255,n/a,n/a
2005,Audi,A4 Cabriolet quattro,Subcompact,3,6,AS5,Z,14.5,9.9,12.4,23,285,n/a,n/a
2005,Audi,A4 Avant,Station wagon: Small,1.8,4,AV,Z,11.6,8.6,10.2,28,235,n/a,n/a
2005,Audi,A4 Avant quattro,Station wagon: Small,1.8,4,AS5,Z,13.2,9,11.3,25,260,n/a,n/a
2005,Audi,A4 Avant quattro,Station wagon: Small,1.8,4,M6,Z,12.6,8.5,10.7,26,246,n/a,n/a
2005,Audi,A4 Avant quattro,Station wagon: Small,3,6,AS5,Z,14.5,9.9,12.4,23,285,n/a,n/a
2005,Audi,A4 Avant quattro,Station wagon: Small,3,6,M6,Z,14.5,9.8,12.4,23,285,n/a,n/a
2005,Audi,A4 Avant quattro,Station wagon: Small,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,n/a,n/a
2005,Audi,A6 quattro,Mid-size,3.1,6,AS6,Z,14.2,9.7,12.2,23,281,n/a,n/a
2005,Audi,A6 quattro,Mid-size,4.2,8,AS6,Z,15.2,11,13.3,21,306,n/a,n/a
2005,Audi,A6 Avant quattro,Station wagon: Mid-size,3.1,6,AS6,Z,15.2,9.9,12.8,22,294,n/a,n/a
2005,Audi,A8,Mid-size,4.2,8,AS6,Z,15,10.5,13,22,299,n/a,n/a
2005,Audi,A8L,Full-size,4.2,8,AS6,Z,15,10.5,13,22,299,n/a,n/a
2005,Audi,A8L,Full-size,6,12,AS6,Z,17.8,12.3,15.3,18,352,n/a,n/a
2005,Audi,allroad quattro,Sport utility vehicle,2.7,6,AS5,Z,16,11.5,14,20,322,n/a,n/a
2005,Audi,allroad quattro,Sport utility vehicle,2.7,6,M6,Z,16.5,11.1,14.1,20,324,n/a,n/a
2005,Audi,S4,Compact,4.2,8,AS6,Z,15,10.7,13.1,22,301,n/a,n/a
2005,Audi,S4,Compact,4.2,8,M6,Z,17.6,12,15.1,19,347,n/a,n/a
2005,Audi,S4 Cabriolet,Subcompact,4.2,8,AS6,Z,14.9,11,13.1,22,301,n/a,n/a
2005,Audi,S4 Cabriolet,Subcompact,4.2,8,M6,Z,17.6,12,15.1,19,347,n/a,n/a
2005,Audi,S4 Avant,Station wagon: Small,4.2,8,AS6,Z,15,10.7,13.1,22,301,n/a,n/a
