Model year,Make,Model,Vehicle class,Combined (kWh/100 km),Range (km),CO2 emissions (g/km),CO2 rating ,Smog rating,Recharge time (h)
2012,Mitsubishi,i-MiEV,Subcompact,18.7,100,0,0,10.0,7.0
2012,Nissan,LEAF,Mid-size,21.1,117,0,0,10.0,7.0
2013,Ford,Focus Electric,Compact,20.0,122,0,0,10.0,4.0
2013,Mitsubishi,i-MiEV,Subcompact,18.7,100,0,0,10.0,7.0
2013,Nissan,LEAF,Mid-size,21.1,117,0,0,10.0,7.0
2013,smart,fortwo electric drive cabriolet,Two-seater,19.6,109,0,0,10.0,8.0
2013,smart,fortwo electric drive coupe,Two-seater,19.6,109,0,0,10.0,8.0
2013,Tesla,Model S (40 kWh),Full-size,22.2,224,0,0,10.0,6.0
2013,Tesla,Model S (60 kWh),Full-size,21.9,335,0,0,10.0,10.0
2013,Tesla,Model S (85 kWh),Full-size,23.6,426,0,0,10.0,12.0
2013,Tesla,Model S Performance,Full-size,23.6,426,0,0,10.0,12.0
2014,Chevrolet,Spark EV,Subcompact,17.8,131,0,0,10.0,7.0
2014,Ford,Focus Electric,Compact,20.0,122,0,0,10.0,4.0
2014,Mitsubishi,i-MiEV,Subcompact,18.7,100,0,0,10.0,7.0
2014,Nissan,LEAF,Mid-size,18.4,135,0,0,10.0,5.0
2014,smart,fortwo electric drive cabriolet,Two-seater,19.6,109,0,0,10.0,8.0
2014,smart,fortwo electric drive coupe,Two-seater,19.6,109,0,0,10.0,8.0
2014,Tesla,Model S (60 kWh),Full-size,21.9,335,0,0,10.0,10.0
2014,Tesla,Model S (85 kWh),Full-size,23.6,426,0,0,10.0,12.0
2014,Tesla,Model S Performance,Full-size,23.6,426,0,0,10.0,12.0
2015,BMW,i3,Subcompact,16.8,130,0,0,10.0,4.0
2015,Chevrolet,Spark EV,Subcompact,17.8,131,0,0,10.0,7.0
2015,Ford,Focus Electric,Compact,20.0,122,0,0,10.0,4.0
2015,Kia,Soul EV,Station wagon: Small,19.9,149,0,0,10.0,4.0
2015,Mitsubishi,i-MiEV,Subcompact,18.7,100,0,0,10.0,7.0
2015,Nissan,LEAF,Mid-size,18.4,135,0,0,10.0,5.0
2015,smart,fortwo electric drive cabriolet,Two-seater,19.6,109,0,0,10.0,8.0
2015,smart,fortwo electric drive coupe,Two-seater,19.6,109,0,0,10.0,8.0
2015,Tesla,Model S (60 kWh),Full-size,21.9,335,0,0,10.0,10.0
2015,Tesla,Model S (70 kWh),Full-size,23.6,377,0,0,10.0,12.0
2015,Tesla,Model S (85/90 kWh),Full-size,23.6,426,0,0,10.0,12.0
2015,Tesla,Model S 70D,Full-size,20.7,386,0,0,10.0,12.0
2015,Tesla,Model S 85D/90D,Full-size,21.0,435,0,0,10.0,12.0
2015,Tesla,Model S P85D/P90D,Full-size,22.5,407,0,0,10.0,12.0
2016,BMW,i3,Subcompact,16.8,130,0,0,10.0,4.0
2016,Chevrolet,Spark EV,Subcompact,17.8,131,0,0,10.0,7.0
2016,Ford,Focus Electric,Compact,20.0,122,0,0,10.0,4.0
2016,Kia,Soul EV,Station wagon: Small,19.9,149,0,0,10.0,4.0
2016,Mitsubishi,i-MiEV,Subcompact,18.7,100,0,0,10.0,7.0
2016,Nissan,LEAF (24 kWh),Mid-size,18.4,135,0,0,10.0,5.0
2016,Nissan,LEAF (30 kWh),Mid-size,18.6,172,0,0,10.0,6.0
2016,smart,fortwo electric drive cabriolet,Two-seater,19.6,109,0,0,10.0,8.0
2016,smart,fortwo electric drive coupe,Two-seater,19.6,109,0,0,10.0,8.0
2016,Tesla,Model S (60 kWh pre- 6/16),Full-size,21.9,335,0,0,10.0,10.0
2016,Tesla,Model S (60 kWh),Full-size,21.1,338,0,0,10.0,10.0
2016,Tesla,Model S (70 kWh),Full-size,23.6,377,0,0,10.0,12.0
2016,Tesla,Model S (75 kWh),Full-size,21.3,401,0,0,10.0,12.0
2016,Tesla,Model S (85/90 kWh),Full-size,23.6,426,0,0,10.0,12.0
2016,Tesla,Model S 60D,Full-size,20.2,351,0,0,10.0,10.0
2016,Tesla,Model S 70D,Full-size,20.7,386,0,0,10.0,12.0
