Model year,Make,Model,Vehicle class,Range 1 (km),Recharge time (h),Combined (L/100 km),Range 2 (km),CO2 emissions (g/km),CO2 rating,Smog rating
2012,Chevrolet,Volt,Compact,56,4.0,6.4,550,54,9.0,6.0
2013,Chevrolet,Volt,Compact,61,4.0,6.4,550,45,9.0,6.0
2013,Ford,C-MAX Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2013,Ford,Fusion Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2013,Toyota,Prius Plug-in Hybrid,Mid-size,18,1.5,4.7,845,101,9.0,6.0
2014,Cadillac,ELR,Compact,59,5.0,7.2,493,50,9.0,6.0
2014,Chevrolet,Volt,Compact,61,4.0,6.4,550,45,9.0,6.0
2014,Ford,C-MAX Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2014,Ford,Fusion Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2014,Porsche,Panamera S E-Hybrid,Full-size,26,3.0,9.3,871,142,9.0,6.0
2014,Toyota,Prius Plug-in Hybrid,Mid-size,18,1.5,4.7,845,101,9.0,6.0
2015,BMW,i3 REx,Subcompact,116,4.0,6.0,119,22,9.0,6.0
2015,BMW,i8,Subcompact,24,2.0,8.3,509,123,9.0,6.0
2015,Chevrolet,Volt,Compact,61,4.0,6.4,547,50,9.0,6.0
2015,Ford,C-MAX Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2015,Ford,Fusion Energi,Mid-size,32,2.5,6.1,856,80,9.0,6.0
2015,Porsche,918 Spyder,Two-seater,21,3.0,10.9,649,172,9.0,6.0
2015,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,24,3.0,10.6,758,162,9.0,6.0
2015,Porsche,Panamera S E-Hybrid,Full-size,26,3.0,9.3,871,142,9.0,6.0
2015,Toyota,Prius Plug-in Hybrid,Mid-size,18,1.5,4.7,845,101,9.0,6.0
2016,Audi,A3 e-tron,Compact,26,2.5,6.8,591,98,10.0,6.0
2016,Audi,A3 e-tron ultra,Compact,27,2.5,6.1,663,85,10.0,6.0
2016,BMW,330e,Compact,23,2.0,7.4,562,113,10.0,6.0
2016,BMW,i3 REx,Subcompact,116,4.0,6.0,119,22,10.0,6.0
2016,BMW,i8,Subcompact,24,2.0,8.3,509,123,9.0,6.0
2016,BMW,X5 xDrive40e,Sport utility vehicle: Standard,23,3.0,9.9,842,153,8.0,6.0
2016,Cadillac,ELR,Subcompact,64,5.0,7.4,480,57,10.0,6.0
2016,Cadillac,ELR (Performance Pkg),Subcompact,58,5.0,7.8,457,65,10.0,6.0
2016,Chevrolet,Volt,Compact,85,4.5,5.6,591,32,10.0,6.0
2016,Ford,C-MAX Energi,Mid-size,32,2.5,6.1,856,80,10.0,6.0
2016,Ford,Fusion Energi,Mid-size,32,2.5,6.1,856,80,10.0,6.0
2016,Hyundai,Sonata Plug-in Hybrid,Mid-size,43,2.7,5.9,925,63,10.0,6.0
2016,Mercedes-Benz,S 550e,Full-size,23,2.75,9.0,695,141,9.0,6.0
2016,Porsche,Cayenne S E-Hybrid,Sport utility vehicle: Standard,24,3.0,10.6,758,162,8.0,6.0
2016,Porsche,Panamera S E-Hybrid,Full-size,26,3.0,9.3,871,142,9.0,6.0
2016,Volvo,XC90 T8 AWD,Sport utility vehicle: Standard,21,3.0,9.5,529,150,8.0,6.0
2017,Audi,A3 e-tron,Compact,26,2.5,6.9,579,98,10.0,8.0
2017,BMW,330e,Compact,23,2.0,7.8,533,118,10.0,6.0
2017,BMW,740e xDrive,Full-size,23,3.0,8.8,525,133,9.0,6.0
2017,BMW,i3 REx (94 Ah),Subcompact,156,5.0,6.7,129,18,10.0,8.0
2017,BMW,i8,Subcompact,24,2.0,8.3,509,123,10.0,6.0
2017,BMW,X5 xDrive40e,Sport utility vehicle: Standard,23,3.0,9.9,840,154,8.0,6.0
2017,Cadillac,CT6 Plug-in Hybrid,Mid-size,50,4.5,9.2,658,89,10.0,6.0
2017,Chevrolet,Volt,Compact,85,4.5,5.6,591,32,10.0,6.0
2017,Chrysler,Pacifica Hybrid,Minivan,53,2.0,7.3,858,66,10.0,8.0
2017,Ford,C-MAX Energi,Mid-size,33,2.5,6.0,884,76,10.0,8.0
2017,Ford,Fusion Energi,Mid-size,35,2.5,5.6,947,70,10.0,8.0
2017,Hyundai,Sonata Plug-in Hybrid,Mid-size,43,2.7,6.1,901,65,10.0,8.0
